Street Name,Latitude,Longitude,Safety Rating,Number of Crimes,Street Type,Traffic Level,Lighting Quality,CCTV Coverage,Distance to Nearest Police Station (km),Pedestrian Activity,Nearby Public Spaces,Crime Severity Index,Police Patrolling Frequency,Most Common Crime Types
Bannerghatta Road 1,12.965186,77.666161,1,29,Industrial,Moderate,Moderate,Low,0.9,Moderate,Mall,9.2,Frequent,Vandalism
Whitefield Main Road 2,12.904426,77.515984,3,3,Commercial,Low,Good,High,1.1,Moderate,Playground,1.8,Frequent,Harassment
MG Road 3,12.923601,77.558266,4,31,Industrial,Low,Moderate,Low,1.1,Low,None,6.1,Occasional,Theft
Bannerghatta Road 4,12.884635,77.537268,3,48,Industrial,Low,Poor,Low,1.7,High,None,8.3,Rare,Harassment
Commercial Street 5,12.985597,77.598833,3,43,Residential,Moderate,Moderate,Low,4.7,Moderate,Market,6.6,Rare,Theft
Church Street 6,12.85348,77.672439,3,14,Mixed-use,High,Moderate,High,4.4,Moderate,Playground,4.7,Frequent,Robbery
MG Road 7,12.917672,77.660303,5,39,Commercial,Low,Moderate,Medium,0.7,Low,None,6.2,Rare,Assault
Koramangala 1st Block 8,12.950643,77.576737,5,42,Residential,Low,Good,Low,0.6,Moderate,Park,9.4,Frequent,Harassment
Commercial Street 9,12.868851,77.519296,3,38,Residential,Low,Poor,High,1.7,Low,Mall,8.3,Occasional,Assault
Whitefield Main Road 10,12.903655,77.53363,5,46,Residential,High,Good,Low,1.9,Moderate,Park,8.9,Frequent,Vandalism
Jayanagar 4th Block 11,12.908615,77.59803,3,31,Residential,Low,Good,High,1.1,Low,Park,8.7,Frequent,Robbery
Whitefield Main Road 12,12.998769,77.632062,3,20,Mixed-use,Low,Poor,Medium,3.2,Low,Market,6.4,Frequent,Vandalism
Church Street 13,12.891683,77.541437,5,49,Mixed-use,Low,Poor,Low,2.0,Low,Mall,8.3,Frequent,Assault
Jayanagar 4th Block 14,12.952516,77.618552,2,22,Mixed-use,High,Moderate,Medium,3.5,Low,Market,9.1,Rare,Robbery
Bannerghatta Road 15,12.851605,77.580807,4,40,Mixed-use,Low,Good,High,0.7,High,Mall,8.8,Frequent,Vandalism
Brigade Road 16,12.980024,77.652369,3,2,Residential,Low,Good,High,2.1,Low,None,8.8,Occasional,Harassment
Indiranagar 100 Feet Road 17,12.985784,77.691585,3,40,Mixed-use,High,Moderate,High,1.5,Low,Park,9.4,Frequent,Vandalism
Bannerghatta Road 18,12.890507,77.654129,2,39,Mixed-use,Low,Moderate,Low,3.6,Moderate,None,2.8,Occasional,Vandalism
HSR Layout 19,12.882836,77.636887,2,19,Mixed-use,Moderate,Moderate,Medium,3.3,Moderate,Playground,5.3,Occasional,Theft
Whitefield Main Road 20,12.984377,77.551687,2,23,Mixed-use,Moderate,Moderate,Medium,2.5,High,Market,7.0,Frequent,Theft
HSR Layout 21,12.946007,77.640584,5,0,Commercial,Moderate,Poor,High,4.7,High,Market,6.3,Frequent,Harassment
HSR Layout 22,12.926791,77.571914,1,38,Residential,High,Good,Medium,3.8,Low,Park,5.7,Frequent,Harassment
Koramangala 1st Block 23,12.908384,77.613253,1,26,Residential,High,Moderate,Low,1.4,Moderate,Park,3.7,Rare,Theft
Church Street 24,12.942255,77.692781,4,28,Residential,Low,Good,Low,2.6,Moderate,Playground,3.7,Rare,Assault
Brigade Road 25,12.97099,77.53547,1,4,Commercial,High,Moderate,Low,3.4,High,Mall,6.3,Frequent,Vandalism
Jayanagar 4th Block 26,12.970201,77.56207,1,14,Residential,High,Poor,Medium,1.7,Moderate,Park,5.4,Occasional,Robbery
Indiranagar 100 Feet Road 27,12.860795,77.575818,1,9,Residential,High,Poor,Medium,4.6,Low,None,3.9,Occasional,Assault
HSR Layout 28,12.950702,77.545817,3,15,Industrial,Moderate,Poor,High,1.7,High,Market,2.0,Occasional,Harassment
MG Road 29,12.978298,77.65655,2,7,Industrial,High,Moderate,High,3.5,Moderate,None,9.6,Occasional,Vandalism
MG Road 30,12.871823,77.566268,2,35,Industrial,High,Good,Low,1.8,Low,Playground,4.1,Frequent,Harassment
MG Road 31,12.889818,77.647462,4,9,Mixed-use,High,Good,High,3.0,Low,Playground,4.6,Rare,Vandalism
Bannerghatta Road 32,12.995303,77.556058,2,23,Residential,High,Poor,Low,1.8,Moderate,Playground,2.1,Frequent,Theft
HSR Layout 33,12.920925,77.626654,3,17,Mixed-use,Moderate,Good,Low,3.6,High,Mall,7.1,Rare,Robbery
MG Road 34,12.907878,77.604442,4,12,Commercial,Moderate,Moderate,High,4.8,High,None,9.1,Occasional,Vandalism
Bannerghatta Road 35,12.867963,77.552686,1,12,Commercial,High,Poor,Low,3.9,Moderate,Playground,9.5,Rare,Vandalism
Whitefield Main Road 36,12.979029,77.573901,5,4,Mixed-use,Moderate,Moderate,High,3.9,Moderate,Park,1.6,Occasional,Vandalism
HSR Layout 37,12.912205,77.64496,2,47,Residential,Moderate,Poor,High,0.5,Low,None,8.9,Rare,Harassment
Church Street 38,12.968638,77.517287,4,5,Industrial,Low,Poor,Medium,4.0,Moderate,Market,9.5,Occasional,Assault
HSR Layout 39,12.894146,77.68521,5,12,Commercial,High,Poor,Low,2.1,Low,Park,1.6,Rare,Harassment
Commercial Street 40,12.988,77.591902,1,1,Commercial,Moderate,Moderate,High,4.7,High,Mall,4.4,Frequent,Theft
Jayanagar 4th Block 41,12.859072,77.553605,2,50,Mixed-use,High,Good,High,1.6,Low,Park,8.7,Occasional,Assault
Church Street 42,12.858366,77.594699,3,25,Mixed-use,High,Good,High,3.3,High,None,5.2,Rare,Theft
Whitefield Main Road 43,12.880049,77.658559,3,30,Residential,High,Poor,High,3.6,High,Park,5.2,Rare,Robbery
